"ID","ID DEPATAMENTO","DEPARTAMENTO","ID MUNICIPIO","MUNICIPIO","ID LOCALIDAD","LOCALIDAD","AÑO SERVICIO","MES SERVICIO","ENERGÍA ACTIVA","ENERGÍA REACTIVA","POTENCIA MÁXIMA","DÍA DE DEMANDA MÁXIMA","FECHA DE DEMANDA MÁXIMA","PROMEDIO DIARIO EN HORAS"
3552,27,"choco",27075,"bahia solano (mutis)",27075001,"cupica (bahia solano - choco)",2020,9,45855,17649,16062,"miercoles","2020-09-02T19:15",18.36
3553,27,"choco",27075,"bahia solano (mutis)",27075002,"el valle (bahia solano - choco)",2020,9,134075,57707,30175,"jueves","2020-09-10T19:15",23.42
3554,27,"choco",27077,"bajo baudo (pizarro)",27077000,"pizarro (bajo baudo (pizarro) - choco)",2020,9,164425,62119,3733,"jueves","2020-09-24T19:15",22.47
3555,27,"choco",27099,"bojaya (bellavista)",27099000,"bellavista (bojaya (bellavista) - choco)",2020,9,91800,34142,21729,"lunes","2020-09-14T19:15",19.18
3556,27,"choco",27099,"bojaya (bellavista)",27099002,"la loma de bojaya (bojaya (bellavista) - choco)",2020,9,11602,5129,64,"lunes","2020-09-28T19:45",8.2
3557,27,"choco",27099,"bojaya (bellavista)",27099005,"napipi (bojaya (bellavista) - choco)",2020,9,7155,2180,576,"miercoles","2020-09-30T20:00",6.27
3558,27,"choco",27250,"el litoral del san juan",27250000,"santa genoveva de docordo (el litoral del san juan - choco)",2020,9,64517,31952,16236,"martes","2020-09-22T19:30",16.53
3559,27,"choco",27425,"medio atrato (bete)",27425000,"bete (medio atrato (bete) - choco)",2020,9,17201,7992,72,"miercoles","2020-09-30T19:00",11.12
3560,27,"choco",27495,"nuqui",27495001,"arusi (nuqui - choco)",2020,9,10038,4026,464,"sabado","2020-09-19T18:45",9.17
3561,27,"choco",27495,"nuqui",27495000,"nuqui (nuqui - choco)",2020,9,164425,62119,35660,"miercoles","2020-09-16T19:45",23.37
3562,27,"choco",27745,"sipi",27745000,"sipi (sipi - choco)",2020,9,11104,4136,748,"martes","2020-09-29T19:30",6.11
3563,27,"choco",27800,"unguia",27800001,"balboa (unguia - choco)",2020,9,15926,6408,8214,"sabado","2020-09-05T19:45",8.03
3564,27,"choco",27800,"unguia",27800005,"titumate (unguia - choco)",2020,9,9981,4598,7427,"domingo","2020-09-13T19:15",5.26
3565,27,"choco",27800,"unguia",27800000,"unguia (unguia - choco)",2020,9,164425,62119,35660,"jueves","2020-09-17T19:15",16.04
3566,94,"guainia",94343,"barrancominas",94343000,"barrancominas (barrancominas - guainia)",2020,9,39983,13982,17609,"lunes","2020-09-21T18:00",9.17
3567,94,"guainia",94001,"inirida",94001000,"inirida (inirida - guainia)",2020,9,164425,62119,35660,"martes","2020-09-22T14:30",24
3568,44,"la guajira",44847,"uribia",44847012,"nazareth (uribia - la guajira)",2020,9,36631,18455,20544,"martes","2020-09-15T19:00",8.58
3569,47,"magdalena",47189,"cienaga",47189018,"palmor (cienaga - magdalena)",2020,9,69113,23399,13523,"martes","2020-09-22T21:15",22.14
